Daily Review,Date,duration (m),start time,end time,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Distractions Tag,Context Tags,Friction Tags,Recovery Tags,Deep Work Min," learning content",作成日時
12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-12-27,31,"December 27, 2025 12:09 PM (GMT+9)","December 27, 2025 12:40 PM (GMT+9)","やった：モデル定義時の
mount_uploaderについて疑問を感じてランテくんに質問
詰まった/気づいた：言語化を問われるので理解の学習になる
次：",3,4,4,3,No,,,.F_次の一手が不明 (https://www.notion.so/F_-2d5d5c5438fd8155a0b1ee6060edf667?pvs=21),,0,,"December 27, 2025 12:09 PM"
12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-12-27,20,"December 27, 2025 7:06 AM (GMT+9)","December 27, 2025 7:26 AM (GMT+9)","やった：Gemの環境設定
詰まった/気づいた：少し気持ち的な焦りやシフトに対するめんどくさい気持ちがある
次：",4,4,3,3.7,No,,,,,0,,"December 27, 2025 7:06 AM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,57,"December 26, 2025 10:31 AM (GMT+9)","December 26, 2025 11:28 AM (GMT+9)","やった：2つのエラーフィックスで課題クリア
詰まった/気づいた：1つめのエラーはログから単純なスペルミス。2つめのエラーはログから変数の受け渡しのための変数定義ができていないことに気づいた
次：講師との会話練習をするために、アプリアイデアをまとめるためにカリキュラム進捗を一旦終了する",5,4,2,4.3,Yes,,,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),.R_5分散歩 (https://www.notion.so/R_5-2d5d5c5438fd812aa46be1981ba24428?pvs=21),57,,"December 27, 2025 5:50 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,58,"December 26, 2025 9:14 AM (GMT+9)","December 26, 2025 10:12 AM (GMT+9)","やった：エラーオブジェクト、処理フローについて基礎学習
詰まった/気づいた：エラーメッセのパーシャルファイルをどうやって使うのがで詰まっている。でもトレーニングを実施した後は基礎学習のためのリサーチやエラーについて仮説や自問自答がすぐできている
次：エラーメッセージを解読。26mでできなければ技術面談を使用する",5,4,4,3.7,No,,,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,27,"December 26, 2025 7:28 AM (GMT+9)","December 26, 2025 7:55 AM (GMT+9)","やった：
詰まった/気づいた：
次：",3,3,3,3,No,"chat, sleepy",,.F_詰まり（バグ沼） (https://www.notion.so/F_-2d5d5c5438fd812eaa73faf579b1cc4e?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/26 (https://www.notion.so/12-26-2d5d5c5438fd8076a46dcb166a8fc339?pvs=21),2025-12-26,36,"December 26, 2025 6:52 AM (GMT+9)","December 26, 2025 7:28 AM (GMT+9)","やった：学習計画をdiscrodでchatをしながら行い、学習計画をシェアした後にxの返信をしていた
詰まった/気づいた：
次：",3,3,3,3,No,,,.F_眠い・頭が重い (https://www.notion.so/F_-2d5d5c5438fd819a89a8fdcef1fba071?pvs=21),,0,,"December 27, 2025 6:59 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,42,"December 25, 2025 7:54 AM (GMT+9)","December 25, 2025 8:36 AM (GMT+9)","やった：夕食後に少しリラックスしながら
詰まった/気づいた：技術面談のまとめが共有になるので少しめんどい時はそれを共有するkだけでokになる
次：",2,2,4,2,No,none,,,,0,,"December 26, 2025 9:11 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,44,"December 25, 2025 5:33 PM (GMT+9)","December 25, 2025 6:17 PM (GMT+9)","やった：エラーログからランテくんaiに原因分析を手伝ってもらう
詰まった/気づいた：new アクションの定義不足
次：",4,4,2,4,Yes,,,.F_眠い・頭が重い (https://www.notion.so/F_-2d5d5c5438fd819a89a8fdcef1fba071?pvs=21),,44,,"December 27, 2025 5:46 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,59,"December 25, 2025 3:17 PM (GMT+9)","December 25, 2025 4:16 PM (GMT+9)","やった：実装課題で機体処理が出ない
詰まった/気づいた：エラーが出て進まないことにイライラしたが、ログを見ることを意識してDockerでエラーログを発見することができた
次：",3,4,4,3,No,none,,,,0,,"December 27, 2025 5:37 PM"
12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-12-25,57,"December 25, 2025 1:40 PM (GMT+9)","December 25, 2025 2:37 PM (GMT+9)","やった：掲示板作成の実装。createアクションの処理学習
詰まった/気づいた：異なるクラスのモデル利用を定義するためのコーディング理解
次：",4,4,3,3.7,No,none,,,,0,,"December 27, 2025 5:38 PM"
