Status,Daily Review,WeekKey,Date,duration (m),start time,end time,Notes,Phase,Technical Interview,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Deep Work Min,作成日時,In This Week,In Last Week,Interview Min,Prep Min,WrapUp Min,TI Min, learning content
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,33,"January 12, 2026 6:33 AM (GMT+9)","January 12, 2026 7:06 AM (GMT+9)","やった：docker エラーログの質問ための準備
詰まった/気づいた：
次：",,,4,5,5,3.3,No,0,"January 12, 2026 6:33 AM",Yes,No,0,0,0,0,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,20,"January 12, 2026 12:19 PM (GMT+9)","January 12, 2026 12:39 PM (GMT+9)","やった：技術面談のための質問準備
詰まった/気づいた：まとめる時は集中力が高くなっている
次：",Prep,,5,5,2,4.7,Yes,20,"January 12, 2026 12:19 PM",Yes,No,0,20,0,0,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,10,"January 12, 2026 7:11 PM (GMT+9)","January 12, 2026 7:21 PM (GMT+9)","やった：RunteqReport提出
詰まった/気づいた：まとめる時は集中力が高くなっている
次：",,,3,3,1,3.7,No,0,"January 12, 2026 7:11 PM",Yes,No,0,0,0,0,
Done,1/12 (https://www.notion.so/1-12-2e6d5c5438fd806997fefc40879737cf?pvs=21),2026-W03,2026-01-12,63,"January 12, 2026 7:30 PM (GMT+9)","January 12, 2026 8:33 PM (GMT+9)","やった：26m x 2 10分休憩　JSカリキュラム
詰まった/気づいた：後半のセットは集中力がなくなっていてアニメを見たい等気持ちがあった
次：",,,4,3,2,3.7,No,0,"January 12, 2026 7:30 PM",Yes,No,0,0,0,0,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,8,"January 13, 2026 6:47 AM (GMT+9)","January 13, 2026 6:55 AM (GMT+9)","やった：学種計画と1日の計画
詰まった/気づいた：
次：",,,5,5,1,5,Yes,8,"January 13, 2026 6:47 AM",Yes,No,0,0,0,0,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,30,"January 13, 2026 6:56 AM (GMT+9)","January 13, 2026 7:26 AM (GMT+9)","やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：少し集中力が逸れてコーヒーが飲みたくなってきている
次：",,,5,4,1,4.7,Yes,30,"January 13, 2026 6:56 AM",Yes,No,0,0,0,0,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,27,"January 13, 2026 7:46 AM (GMT+9)","January 13, 2026 8:13 AM (GMT+9)","やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：JSは一度独学しているのでさらっと確認程度でもok
次：",,,5,5,1,5,Yes,27,"January 13, 2026 7:46 AM",Yes,No,0,0,0,0,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,59,"January 13, 2026 9:15 AM (GMT+9)","January 13, 2026 10:14 AM (GMT+9)","やった： JSカリキュラム　DMO操作学習
詰まった/気づいた：後半のセッションで面接で落ちたバイトのことをリサーチして、これ受かってたらなという現実逃避のためにネットサーフィンに注意逸れることが２回あった
次：",,,5,4,2,4.3,Yes,59,"January 13, 2026 9:15 AM",Yes,No,0,0,0,0,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,10,"January 13, 2026 10:33 AM (GMT+9)","January 13, 2026 10:43 AM (GMT+9)","やった：受付フォームへ投稿のため準備
詰まった/気づいた：後半のセッションで面接で落ちたバイトのことをリサーチして、これ受かってたらなという現実逃避のためにネットサーフィンに注意逸れることが２回あった
次：",Prep,Docker開発環境 (https://www.notion.so/Docker-2ecd5c5438fd801db716d6656d864452?pvs=21),,,,2,No,0,"January 13, 2026 10:33 AM",Yes,No,0,10,0,10,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,32,"January 13, 2026 10:58 AM (GMT+9)","January 13, 2026 11:30 AM (GMT+9)","やった：技術面談
詰まった/気づいた：
次：",Interview,Docker開発環境 (https://www.notion.so/Docker-2ecd5c5438fd801db716d6656d864452?pvs=21),,,,2,No,0,"January 13, 2026 10:58 AM",Yes,No,32,0,0,32,
Done,1/13 (https://www.notion.so/1-13-2e6d5c5438fd80048f4efbd84ae74338?pvs=21),2026-W03,2026-01-13,32,"January 13, 2026 5:14 PM (GMT+9)","January 13, 2026 5:46 PM (GMT+9)","やった：学習まとめとmottermostシェア
詰まった/気づいた：
次：",,,4,3,3,3.3,No,0,"January 13, 2026 5:14 PM",Yes,No,0,0,0,0,
Done,1/14 (https://www.notion.so/1-14-2e7d5c5438fd8039ad1bde555860913c?pvs=21),2026-W03,2026-01-14,66,"January 14, 2026 6:55 AM (GMT+9)","January 14, 2026 8:01 AM (GMT+9)","やった：エラー情報の探し方カリキュラム
詰まった/気づいた：詰まっているということは学習に価値があるというマインド、2日以上かかっても良いという思考で行うと落ち着いてデバッグや自問自答をすることができていた",,,5,5,3,4.3,Yes,66,"January 14, 2026 6:55 AM",Yes,No,0,0,0,0,
Done,1/14 (https://www.notion.so/1-14-2e7d5c5438fd8039ad1bde555860913c?pvs=21),2026-W03,2026-01-14,28,"January 14, 2026 9:37 AM (GMT+9)","January 14, 2026 10:05 AM (GMT+9)","やった：エラー情報の探し方カリキュラム | デバッグのカリキュラムなのでREAD meのデバッグツールを使う視点で学習
詰まった/気づいた：Gemの使い方が分からないので調べるのに時間",,,5,4,4,3.7,No,0,"January 14, 2026 9:37 AM",Yes,No,0,0,0,0,
Done,1/14 (https://www.notion.so/1-14-2e7d5c5438fd8039ad1bde555860913c?pvs=21),2026-W03,2026-01-14,23,"January 14, 2026 10:19 AM (GMT+9)","January 14, 2026 10:42 AM (GMT+9)","やった：イベントの草案作成
詰まった/気づいた：",,,3,3,1,3.7,No,0,"January 14, 2026 10:19 AM",Yes,No,0,0,0,0,
Done,1/14 (https://www.notion.so/1-14-2e7d5c5438fd8039ad1bde555860913c?pvs=21),2026-W03,2026-01-14,31,"January 14, 2026 5:27 PM (GMT+9)","January 14, 2026 5:58 PM (GMT+9)","やった：学習まとめとmottermostシェア
詰まった/気づいた：",,,4,3,2,3.7,No,0,"January 14, 2026 5:27 PM",Yes,No,0,0,0,0,
Done,1/15 (https://www.notion.so/1-15-2ecd5c5438fd80e992c6e3d495d47239?pvs=21),2026-W03,2026-01-15,26,"January 15, 2026 7:37 AM (GMT+9)","January 15, 2026 8:03 AM (GMT+9)","やった：エラー情報の探し方カリキュラム | デバッグのカリキュラムなのでREAD meのデバッグツールを使う視点で学習
詰まった/気づいた：寝る前にipadを見ながら寝落ちしたので取り掛かるまで、取り掛かっても時間がかかる",,,3,3,3,3,No,0,"January 15, 2026 7:37 AM",Yes,No,0,0,0,0,
Done,1/15 (https://www.notion.so/1-15-2ecd5c5438fd80e992c6e3d495d47239?pvs=21),2026-W03,2026-01-15,67,"January 15, 2026 8:40 AM (GMT+9)","January 15, 2026 9:47 AM (GMT+9)","やった：エラー情報の探し方カリキュラム | デバッグツールを使いながらデバッグ方法学習とコード理解の再学習
詰まった/気づいた：Post showがどんなアクション設計なのかを再度理解することができた",,,4,4,2,4,Yes,67,"January 15, 2026 8:40 AM",Yes,No,0,0,0,0,
Done,1/15 (https://www.notion.so/1-15-2ecd5c5438fd80e992c6e3d495d47239?pvs=21),2026-W03,2026-01-15,62,"January 15, 2026 10:22 AM (GMT+9)","January 15, 2026 11:24 AM (GMT+9)","やった：技術面談用の資料の準備
詰まった/気づいた：資料をまとめる系は時間を忘れて没頭するフローの感覚がある
思考には時間がかかる。でもかける時間とアウトプットと成果のバランスがむずい！！",Prep,デバッグ (https://www.notion.so/2e9d5c5438fd8057b6a4f93416dddb0d?pvs=21),5,5,3,4.3,Yes,62,"January 15, 2026 10:22 AM",Yes,No,0,62,0,62,
