Status,Daily Review,WeekKey,Date,duration (m)f,start time,end time,Type,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Deep Work Min,作成日時,In This Week,In Last Week,Interview Min,Prep Min,WrapUp Min,TI Min," learning content"
Done,12/23 (https://www.notion.so/12-23-2d5d5c5438fd81afa55fd76ec25924bb?pvs=21),2025-W52,2025-12-23,56,"December 23, 2025 9:13 AM (GMT+9)","December 23, 2025 10:09 AM (GMT+9)",,"やった：運動後に30m好きなことを実施してこのセッション実施
詰まった/気づいた：頭がスッキリした感覚がり、xを触ろうと思ってもメタ認知が働いていた
次：",5,4,1,4.7,Yes,56,"December 26, 2025 4:27 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,26,"December 22, 2025 6:23 AM (GMT+9)","December 22, 2025 6:49 AM (GMT+9)",,"やった：ペパーミント準備して眠いが学習スタート
詰まった/気づいた：眠気で集中して学習はできておらず何度か別のことに意識が逸れていた
次：カリキュラムのフラッシュ実装を始める",3,3,3,3,No,0,"December 26, 2025 8:25 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,42,"December 25, 2025 7:54 AM (GMT+9)","December 25, 2025 8:36 AM (GMT+9)",,"やった：夕食後に少しリラックスしながら
詰まった/気づいた：技術面談のまとめが共有になるので少しめんどい時はそれを共有するkだけでokになる
次：",2,2,4,2,No,0,"December 26, 2025 9:11 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,26,"December 22, 2025 5:25 PM (GMT+9)","December 22, 2025 5:51 PM (GMT+9)",,"やった：バスで帰宅中にPC一台で学習
詰まった/気づいた：画面が人のためページ移動で集中力なくなる
次：",3,2,4,2.3,No,0,"December 26, 2025 9:11 PM",No,No,0,0,0,,
Done,12/22 (https://www.notion.so/12-22-2d5d5c5438fd818e98dbe5425f178774?pvs=21),2025-W52,2025-12-22,60,"December 22, 2025 7:32 PM (GMT+9)","December 22, 2025 8:32 PM (GMT+9)",,"やった：企画のイラストをchatgptで作成しながらカリキュラム
詰まった/気づいた：企画用のイラスト作成の反応が気になりカリキュラム中にxの反応チェック
次：xは明日チェック",3,2,4,2.3,No,0,"December 26, 2025 9:13 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-23,25,"December 23, 2025 5:21 PM (GMT+9)","December 23, 2025 5:46 PM (GMT+9)",,"やった：シフト休憩中に昨日やっていなかった機能の学習の振り返り
詰まった/気づいた：仕事で少しミスや苦手な人の場合学習に思いっきり集中できない
次：帰宅してから寝る前に今日の振り返りを行う",2,3,2,3,No,0,"December 26, 2025 9:18 PM",No,No,0,0,0,,
Done,12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-W52,2025-12-27,20,"December 27, 2025 7:06 AM (GMT+9)","December 27, 2025 7:26 AM (GMT+9)",,"やった：Gemの環境設定
詰まった/気づいた：少し気持ち的な焦りやシフトに対するめんどくさい気持ちがある
次：",4,4,3,3.7,No,0,"December 27, 2025 7:06 AM",No,No,0,0,0,,
Done,12/27 (https://www.notion.so/12-27-2d5d5c5438fd807882b2dc07096ddd7b?pvs=21),2025-W52,2025-12-27,31,"December 27, 2025 12:09 PM (GMT+9)","December 27, 2025 12:40 PM (GMT+9)",📚 読書,"やった：モデル定義時の
mount_uploaderについて疑問を感じてランテくんに質問
詰まった/気づいた：言語化を問われるので理解の学習になる
次：",3,4,4,3,No,0,"December 27, 2025 12:09 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,59,"December 25, 2025 3:17 PM (GMT+9)","December 25, 2025 4:16 PM (GMT+9)",,"やった：実装課題で機体処理が出ない
詰まった/気づいた：エラーが出て進まないことにイライラしたが、ログを見ることを意識してDockerでエラーログを発見することができた
次：",3,4,4,3,No,0,"December 27, 2025 5:37 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,57,"December 25, 2025 1:40 PM (GMT+9)","December 25, 2025 2:37 PM (GMT+9)",,"やった：掲示板作成の実装。createアクションの処理学習
詰まった/気づいた：異なるクラスのモデル利用を定義するためのコーディング理解
次：",4,4,3,3.7,No,0,"December 27, 2025 5:38 PM",No,No,0,0,0,,
Done,12/25 (https://www.notion.so/12-25-2d5d5c5438fd81edb760ee09d3e3ce94?pvs=21),2025-W52,2025-12-25,12,"December 25, 2025 7:03 AM (GMT+9)","December 25, 2025 7:15 AM (GMT+9)",,"やった：Discordで挨拶をしてから学習に集中すると宣言。カレンダーから1日の学習可能時間を計測して、目標を立てる
詰まった/気づいた：none
次：",4,3,2,3.7,No,0,"December 27, 2025 5:38 PM",No,No,0,0,0,,
