Property,Date,Start,End,Duration Min,Time Band,Topic,Activity Type,Location,Energy,Focus,Quality,Distractions,Notes,Deep Work Score,Deep Work Band,Daily Review
,"November 25, 2025","November 25, 2025 8:30 PM (GMT+9)","November 25, 2025 9:44 PM (GMT+9)",74,夜,"Ruby入門, SQL",インプット,自宅,4,3.5,4,,,3.8,,
,"December 1, 2025","December 1, 2025 12:18 PM (GMT+9)","December 1, 2025 12:53 PM (GMT+9)",35,昼,"Rubyy入門7章, Ruby入門6章",テスト模試,職場,3.5,4,4,,,3.8,,12/1 (https://www.notion.so/12-1-2bcd5c5438fd80a38ab0c2bd50527226?pvs=21)
,"December 1, 2025","December 1, 2025 6:50 PM (GMT+9)","December 1, 2025 7:15 PM (GMT+9)",25,夜,"Rubyy入門7章, Ruby入門8章",テスト模試,帰宅,,,,,,0,,12/1 (https://www.notion.so/12-1-2bcd5c5438fd80a38ab0c2bd50527226?pvs=21)
,"December 1, 2025","December 1, 2025 8:45 PM (GMT+9)","December 1, 2025 9:10 PM (GMT+9)",25,夜,Rubyy入門7章,テスト模試,自宅,4,4.5,4,sns,学習中に一瞬x確認して比較してしまう,4.2,,12/1 (https://www.notion.so/12-1-2bcd5c5438fd80a38ab0c2bd50527226?pvs=21)
,"December 1, 2025","December 1, 2025 9:19 PM (GMT+9)","December 1, 2025 9:44 PM (GMT+9)",25,夜,"Rubyy入門7章, Ruby入門8章",インプット,自宅,4,3.5,3.5,,クラスはビジュアル化することで学習に集中できた,3.7,,12/1 (https://www.notion.so/12-1-2bcd5c5438fd80a38ab0c2bd50527226?pvs=21)
,"December 2, 2025","December 2, 2025 12:10 PM (GMT+9)","December 2, 2025 12:38 PM (GMT+9)",28,昼,Ruby入門8章,インプット,職場,3.5,3,3.5,仕事での心配,英語でお客さんと口論をして上手く使えれなかったことに対する引きづり,3.3,,12/2 (https://www.notion.so/12-2-2bcd5c5438fd8165a6acf9f830fe0b32?pvs=21)
,"December 2, 2025","December 2, 2025 7:10 PM (GMT+9)","December 2, 2025 7:40 PM (GMT+9)",30,夜,Ruby入門8章,テスト模試,自宅,3.5,4,4.5,,紙に書きながらは集中できる,4,,12/2 (https://www.notion.so/12-2-2bcd5c5438fd8165a6acf9f830fe0b32?pvs=21)
,"December 2, 2025","December 2, 2025 8:43 PM (GMT+9)","December 2, 2025 9:15 PM (GMT+9)",32,夜,Ruby入門9章,インプット,自宅,3.5,3.5,3.5,,紙に書きながらは集中できる,3.5,,12/2 (https://www.notion.so/12-2-2bcd5c5438fd8165a6acf9f830fe0b32?pvs=21)
,"December 2, 2025","December 2, 2025 9:15 PM (GMT+9)","December 2, 2025 9:45 PM (GMT+9)",30,夜,Ruby入門9章,テスト模試,自宅,3.5,2.5,4,,"課題ついて深く考える事ができなくなった。ブレーキがかかっている感じ。
復讐すべき箇所を教えてもらうことでゆっくりだが学習できた",3.3,,12/2 (https://www.notion.so/12-2-2bcd5c5438fd8165a6acf9f830fe0b32?pvs=21)
,"December 3, 2025","December 3, 2025 9:18 AM (GMT+9)","December 3, 2025 9:48 AM (GMT+9)",30,朝,Ruby入門9章,インプット,自宅,4.5,5,4.5,,父さんの送り帰宅後に質気分を気にせずコーヒーとクッキーセットして学習をスタートさせる,4.7,朝,12/3 (https://www.notion.so/12-3-2bdd5c5438fd810e85dbf361185ed7bf?pvs=21)
,"December 3, 2025","December 3, 2025 9:48 AM (GMT+9)","December 3, 2025 10:24 AM (GMT+9)",36,朝,Ruby入門9章,テスト模試,自宅,4.5,4,3.5,他の生徒の学習や経歴が気になってsnsを徘徊したいなという気持ちが少し出てくる,父さんの送り帰宅後に質気分を気にせずコーヒーとクッキーセットして学習をスタートさせる,4,,12/3 (https://www.notion.so/12-3-2bdd5c5438fd810e85dbf361185ed7bf?pvs=21)
,"December 3, 2025","December 3, 2025 11:04 AM (GMT+9)","December 3, 2025 11:30 AM (GMT+9)",26,昼,Ruby11章,テスト模試,自宅,4.5,5,4,ベーグルネットフリックスが見たくて、焦って、午後の予定もあることを考えて早く見たい気持ち,,4.5,昼,12/3 (https://www.notion.so/12-3-2bdd5c5438fd810e85dbf361185ed7bf?pvs=21)
,"December 4, 2025","December 4, 2025 9:15 AM (GMT+9)","December 4, 2025 10:22 AM (GMT+9)",67,朝,Ruby11章,テスト模試,自宅,5,4.5,4,,,4.5,朝,12/4 (https://www.notion.so/12-4-2bed5c5438fd808cbe11ff06c6e4d3a4?pvs=21)
,"December 4, 2025","December 4, 2025 10:56 AM (GMT+9)","December 4, 2025 11:58 AM (GMT+9)",62,朝,Rails入門,インプット,自宅,4,4,2.5,"水曜日に休みの日に学習したからサボっても良いかなという気持ち
場所；休憩中にこたつで漫画ワン",,3.5,,12/4 (https://www.notion.so/12-4-2bed5c5438fd808cbe11ff06c6e4d3a4?pvs=21)
,"December 4, 2025","December 4, 2025 12:20 PM (GMT+9)","December 4, 2025 1:00 PM (GMT+9)",40,昼,Rails入門,インプット,自宅,3.5,3,4,,散歩をして気分転換をする,3.5,,12/4 (https://www.notion.so/12-4-2bed5c5438fd808cbe11ff06c6e4d3a4?pvs=21)
,"December 4, 2025","December 4, 2025 3:07 PM (GMT+9)","December 4, 2025 3:34 PM (GMT+9)",27,夕方,Rails入門,インプット,自宅,4,2.5,2.5,他人の進捗状況,深い集中が独り言モードが発動しない,3,,12/4 (https://www.notion.so/12-4-2bed5c5438fd808cbe11ff06c6e4d3a4?pvs=21)
,"December 5, 2025","December 5, 2025 7:42 AM (GMT+9)","December 5, 2025 9:03 AM (GMT+9)",81,朝,Rails入門,インプット,自宅,5,5,4,,学習前の目標設定で学習中に何を学習するかを意識してできていたので集中できた,4.7,朝,12/5 (https://www.notion.so/12-5-2bfd5c5438fd80568a94cbadcfad99bf?pvs=21)
,"December 6, 2025","December 6, 2025 9:02 AM (GMT+9)","December 6, 2025 10:02 AM (GMT+9)",60,朝,Rails入門,インプット,自宅,5,3,3,"整理整頓, 環境/ツール設定",学習中に画面拡張したくてmacbookproをいじったり調べたり。でも学習の集中はできていた,3.7,,12/6 (https://www.notion.so/12-6-2c0d5c5438fd8089b8f9c922459bf00a?pvs=21)
,"December 6, 2025","December 6, 2025 10:02 AM (GMT+9)","December 6, 2025 10:45 AM (GMT+9)",43,朝,Rails入門,インプット,自宅,5,5,4,,90mのブロックのため追加で30m実施して集中できていた図解しながら疑問を書くことで学習に集中できた,4.7,朝,12/6 (https://www.notion.so/12-6-2c0d5c5438fd8089b8f9c922459bf00a?pvs=21)
,"December 6, 2025","December 6, 2025 11:19 AM (GMT+9)","December 6, 2025 1:00 PM (GMT+9)",101,昼,Rails入門,問題演習,自宅,4,4,5,,1hしたけど、12:30なのでそのまま13時まで続行。,4.3,,12/6 (https://www.notion.so/12-6-2c0d5c5438fd8089b8f9c922459bf00a?pvs=21)
,"December 6, 2025","December 6, 2025 3:36 PM (GMT+9)","December 6, 2025 4:28 PM (GMT+9)",52,夕方,Rails入門,"インプット, 問題演習",自宅,5,5,5,,普段のこの時間帯は集中力がなくなりサボりがちになるが、ランニング後にすぐ始めると気分もスッキリして軽い感じがある,5,夕方,12/6 (https://www.notion.so/12-6-2c0d5c5438fd8089b8f9c922459bf00a?pvs=21)
12/6,"December 6, 2025","December 6, 2025 4:46 PM (GMT+9)","December 6, 2025 5:45 PM (GMT+9)",59,夕方,Rails入門,"インプット, 問題演習",自宅,4,3,4,,1ブロック終わった後の休憩後は、スタート時は集中できていない感じがあった。,3.7,,12/6 (https://www.notion.so/12-6-2c0d5c5438fd8089b8f9c922459bf00a?pvs=21)
,,,,,,,,,,,,,,0,,12/3 (https://www.notion.so/12-3-2bdd5c5438fd810e85dbf361185ed7bf?pvs=21)
