Daily Review,Date,duration (m),start time,end time,Notes,Cognitive Headroom,Focus,Friction,Deep Score,Deep Flag,Distractions Tag,Context Tags,Friction Tags,Recovery Tags,Deep Work Min, learning content,作成日時
12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2025-12-29,27,"December 29, 2025 7:50 AM (GMT+9)","December 29, 2025 8:17 AM (GMT+9)","やった：アップロード課題。インスタンスに属性が追加されるということについて学習
詰まった/気づいた：少し集中できていない感覚
次：",4.0,3.0,3.0,3.3,No,"sleepy, sns",,,,0,,"December 29, 2025 7:50 AM"
12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2025-12-29,57,"December 29, 2025 10:02 AM (GMT+9)","December 29, 2025 10:59 AM (GMT+9)","やった：boardインスタンスとboard.board_imageオブジェクトの関係について
詰まった/気づいた：関係性の概念の言語化ができずにらんてくで質問を繰り返す
次：一旦終えてxでシェア。のりぴーさんにに質問する",5.0,5.0,4.0,4.0,Yes,,,.F_リサーチループ (https://www.notion.so/F_-2d8d5c5438fd807daea4e4009b557289?pvs=21),,57,,"December 29, 2025 10:02 AM"
12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2025-12-29,16,"December 29, 2025 11:14 AM (GMT+9)","December 29, 2025 11:30 AM (GMT+9)","やった：詳細機能/コメントの実装に必要な概念書き出し
詰まった/気づいた：
次：カリキュラムスタート",5.0,4.0,2.0,4.3,Yes,,,,,16,,"December 29, 2025 11:14 AM"
12/29 (https://www.notion.so/12-29-2d7d5c5438fd80d0ae25c35fcc7dc917?pvs=21),2025-12-29,43,"December 29, 2025 5:23 PM (GMT+9)","December 29, 2025 6:06 PM (GMT+9)","やった：学習まとめ
詰まった/気づいた：
次：",3.0,4.0,2.0,3.7,No,,,,,0,,"December 29, 2025 6:06 PM"
12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2025-12-30,16,"December 30, 2025 6:47 AM (GMT+9)","December 30, 2025 7:03 AM (GMT+9)","やった：夕食後ipadはリビングへ。寝室には持っていかず本だけを読んだ
詰まった/気づいた：少し眠い感じはあるがipadを使って寝た時よりも気分は軽い。
次：カリキュラムのインプットを進める",4.0,4.0,1.0,4.3,Yes,none,.C_通知ゼロ (https://www.notion.so/C_-2d5d5c5438fd81a8b396d36ef55f80ce?pvs=21),,,16,,"December 30, 2025 6:47 AM"
12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2025-12-30,27,"December 30, 2025 7:06 AM (GMT+9)","December 30, 2025 7:33 AM (GMT+9)","やった：form_with postで生成されるネストデータについて学習
詰まった/気づいた：やっぱりdiscrodのチャットは確認しない方が朝の集中は確保できる
次：",4.0,4.0,2.0,4.0,Yes,none,.C_通知ゼロ (https://www.notion.so/C_-2d5d5c5438fd81a8b396d36ef55f80ce?pvs=21),,,27,,"December 30, 2025 7:32 AM"
12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2025-12-30,54,"December 30, 2025 9:26 AM (GMT+9)","December 30, 2025 10:20 AM (GMT+9)","やった：リソースのネストルーティングについて
詰まった/気づいた：ネストルーティングについてカリキュラム内容の理解煮詰まり、chatやxの確認に注意が何度か逸れる
次：次のぽもで疑問点をcabinetに書き出し。学習項目の設定を行う",3.0,3.0,3.0,3.0,No,chat,,.F_リサーチループ (https://www.notion.so/F_-2d8d5c5438fd807daea4e4009b557289?pvs=21),,0,,"December 30, 2025 9:26 AM"
12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2025-12-30,37,"December 30, 2025 10:53 AM (GMT+9)","December 30, 2025 11:30 AM (GMT+9)","やった：ペパーミント準備して眠いが学習スタート
詰まった/気づいた：眠気で集中して学習はできておらず何度か別のことに意識が逸れていた
次：カリキュラムのフラッシュ実装を始める",4.0,4.0,4.0,3.3,No,,,.F_リサーチループ (https://www.notion.so/F_-2d8d5c5438fd807daea4e4009b557289?pvs=21),,0,,"December 30, 2025 10:53 AM"
12/30  (https://www.notion.so/12-30-2d8d5c5438fd80ac935dd4385ba63ea1?pvs=21),2025-12-30,25,"December 30, 2025 5:48 PM (GMT+9)","December 30, 2025 6:13 PM (GMT+9)","やった：学習ログのみ振り返り。学習まとめは明日でもよき
詰まった/気づいた：余裕がない時はその日の状態や学習についてのデータ記入のみでokにする
次：学習の続きを明日の午前して、明日の振り返りと一緒に登校する",2.0,3.0,3.0,2.7,No,restless,,,,0,,"December 30, 2025 5:48 PM"
12/31 (https://www.notion.so/12-31-2d9d5c5438fd80159ffcf267096127b5?pvs=21),2025-12-31,62,"December 31, 2025 6:18 AM (GMT+9)","December 31, 2025 7:20 AM (GMT+9)","やった：Cursorを使った朝の学習計画運用構築
詰まった/気づいた：
次：",5.0,5.0,1.0,5.0,Yes,,,,,62,,"December 31, 2025 6:18 AM"
