Property,Date,Start,End,Duration Min,Time Band,Activity Type,Topic,Location,Energy,Focus,Quality,Distractions,Deep Work Score,Notes,Deep Work Band,Daily Review
,"December 15, 2025","December 15, 2025 6:30 AM (GMT+9)","December 15, 2025 7:27 AM (GMT+9)",57,早朝,"インプット, エラー, カリキュラム, 実装",Rails入門②,自宅,3,3,3,眠気,3,セッションの終盤でエラーが出て少し進まないことにイライラした,,
,"December 15, 2025","December 15, 2025 8:10 AM (GMT+9)","December 15, 2025 9:16 AM (GMT+9)",66,朝,"インプット, エラー, カリキュラム, 実装",Rails入門②,自宅,4,4,4,,4,散歩後に落ち着いてエラーに対して原因を調べる作業や、aiに対して質問を行う事ができた。完璧に行うのではなくaiからエラーの原因を知る方法もあるという考えができていた。,,
,"December 15, 2025","December 15, 2025 9:39 AM (GMT+9)","December 15, 2025 10:36 AM (GMT+9)",57,朝,"カリキュラム, 問題演習, 実装",Rails入門②,自宅,4,3,4,sns,3.7,セッションの最後の時間帯にコードを１から自分で調べて実装する課題のに突入した時に考える事が一瞬めんどくさくなり集中力が落ちている感覚がりセッション間の休憩でxを見ていた,,
,"December 15, 2025","December 15, 2025 5:10 PM (GMT+9)","December 15, 2025 5:54 PM (GMT+9)",44,夕方,学習振り返り,,職場,4,3,4,sns,3.7,Discordでチャットに参加しながら行ったので集中が途切れていた。参加するタイミングは決める必要がある,,
,"December 16, 2025","December 16, 2025 7:32 AM (GMT+9)","December 16, 2025 7:58 AM (GMT+9)",26,朝,学習計画,,自宅,3,3,4,眠気,3.3,前日に学習時間が想定よりも多くできたので朝は少しサボりモードだった。起床も6時ではなく1時間遅い7時,,
,"December 16, 2025","December 16, 2025 7:58 AM (GMT+9)","December 16, 2025 8:24 AM (GMT+9)",26,朝,"エラー, カリキュラム, 問題演習",,自宅,4,4,3,,3.7,,,
,"December 16, 2025","December 16, 2025 9:47 AM (GMT+9)","December 16, 2025 10:53 AM (GMT+9)",66,朝,"エラー, カリキュラム, 問題演習",,自宅,5,5,4,,4.7,運動直後に何も挟まず、シャワーを浴びてすぐやるとすんなり集中モードに入れて自問自答しながらエラーの原因や解決方法や仮説を考える事ができて、気づけば47mすぎていた,朝,
,"December 18, 2025","December 18, 2025 7:30 AM (GMT+9)","December 18, 2025 7:55 AM (GMT+9)",25,朝,学習計画,,自宅,4,3,3,,3.3,漠然と気分が上がらない状態だった,,
,"December 18, 2025","December 18, 2025 9:09 AM (GMT+9)","December 18, 2025 10:12 AM (GMT+9)",63,朝,"エラー, カリキュラム",,自宅,4,4,3,,3.7,エラー原因の記事を探すのはなんか集中できている感覚がある,,
,"December 18, 2025","December 18, 2025 10:12 AM (GMT+9)","December 18, 2025 11:01 AM (GMT+9)",49,朝,"インプット, カリキュラム",Rails基礎,自宅,4,3,3,,3.3,"特に頭を使わなくて流し読みでokな作業
rails gだけは少しノートにメモした",,
,"December 18, 2025","December 18, 2025 11:26 AM (GMT+9)","December 18, 2025 11:52 AM (GMT+9)",26,昼,"インプット, カリキュラム",Rails基礎,自宅,4,2,2,sns,2.7,xやdiscordのチャットを確認してしまう,,
,"December 18, 2025","December 18, 2025 1:14 PM (GMT+9)","December 18, 2025 2:13 PM (GMT+9)",59,昼,"エラー, カリキュラム, 問題演習",Rails基礎,自宅,5,3,3,他人の進捗状況,3.7,セッション前半は集中できなかったがエラー発生時の原因を探しているときは集中できていた,,
,"December 18, 2025","December 18, 2025 2:31 PM (GMT+9)","December 18, 2025 2:57 PM (GMT+9)",26,夕方,"インプット, カリキュラム",Rails基礎,自宅,5,3,3,他人の進捗状況,3.7,セッション前半は集中できなかったがエラー発生時の原因を探しているときは集中できていた,,
,"December 18, 2025","December 18, 2025 3:52 PM (GMT+9)","December 18, 2025 4:40 PM (GMT+9)",48,夕方,"インプット, カリキュラム",Rails基礎,自宅,4,4,4,,4,基本的な文法などはai講師に質問して理解するの戦法を実施,,
,"December 19, 2025","December 19, 2025 6:27 AM (GMT+9)","December 19, 2025 6:53 AM (GMT+9)",26,早朝,"インプット, カリキュラム",Rails基礎,自宅,4,5,5,,4.7,最初は眠い感だが後半では集中。朝活を始める前だとこの状態だとすぐにタスクを始めてなかったな,早朝,
,"December 19, 2025","December 19, 2025 8:43 AM (GMT+9)","December 19, 2025 9:47 AM (GMT+9)",64,朝,"インプット, カリキュラム, 問題演習",Rails基礎,自宅,4,5,5,,4.7,ダラダラしたい気持ちもあるが、運動後すぐに始めると集中できている,朝,
,"December 19, 2025","December 19, 2025 10:13 AM (GMT+9)","December 19, 2025 11:12 AM (GMT+9)",59,朝,"インプット, カリキュラム, 問題演習",Rails基礎,自宅,4,4,4,,4,i18nは実装時に再度学習すれば良いと考えて軽く調べながらふーん程度で流す。課題をこなしながら調べていく。最初の実装前のスッテップは個人開発に参考になる,,
,"December 19, 2025","December 19, 2025 11:35 AM (GMT+9)","December 19, 2025 12:00 PM (GMT+9)",25,昼,"インプット, エラー, カリキュラム, 問題演習",Rails基礎,自宅,4,3,3,,3.3,課題のエラーフィックス。formのヘルパーは自動で判定されるとざっくり理解して、課題もパスできたのでokにする,,
